;ID;Start time;Completion time;REF;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15;Q16;Q17;Q18;Q19;Q20;Q21;Q22;Q23;Q24;Q25;Q26;Q27
0;;;;RES_ESP;Sonificación 1;A la izquierda;Sonificación 2;Sonificación 2;Espectro 2;Espectro 3;Espectro 3;Espectro 3;Espectro 3;Espectro 2;Espectro 1;Espectro 1;"Lejos del centro;Posición derecha;Región de formación estelar;";"Cerca del centro;Posición izquierda;Galaxia vieja;";;;;;;;;;;;;;
0;;;;RES_ENG;Sonification 1;Left;Sonification  2;Sonification  2;Spectrum 2;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 3;Spectrum 2;Spectrum 1;Spectrum 1;"Right position;Far from the center;Star forming region;";"Close to the center;Left position;Retired galaxy.;";;;;;;;;;;;;;
1;1;4/18/24 10:01:49;4/18/24 10:26:12;anonymous;Sonificación 2;A la izquierda;Sonificación 2;Sonificación 2;Espectro 1;Espectro 3;Espectro 3;Espectro 3;Espectro 2;Espectro 2;Espectro 1;Espectro 2;"Posición derecha;Galaxia vieja;";"Posición izquierda;Galaxia vieja;";XXX;Útil;Aceptable;Mucha experiencia (profesional);Ninguna;Blues;31-40;No;España;Español;Sí, utilicé auriculares.;"Audio 3D / Gaming;";Gran trabajo!
2;2;4/18/24 14:48:33;4/18/24 15:19:46;anonymous;Sonificación 1;A la izquierda;Sonificación 2;Sonificación 4;Espectro 1;Espectro 3;Espectro 2;Espectro 3;Espectro 3;Espectro 2;Espectro 2;Espectro 2;"Posición derecha;Galaxia vieja;Cerca del centro;";"Lejos del centro;Galaxia vieja;Posición izquierda;";XXX;Útil;Buen sonido;Algo de experiencia (hobby/entusiasta);Algo de experiencia (hobby/entusiasta);Rock ;21-30;No;ESPAÑA;ESPAÑOL;Sí, utilicé auriculares.;"Intra-aurales;";
3;3;4/18/24 17:14:38;4/18/24 17:21:38;anonymous;Sonificación 2;A la izquierda;Sonificación 2;Sonificación 1;Espectro 3;Espectro 1;Espectro 2;Espectro 1;Espectro 2;Espectro 3;Espectro 3;Espectro 1;"Cerca del centro;Posición derecha;Región de formación estelar;";"Lejos del centro;Región de formación estelar;Posición derecha;";XXX;De dudosa utilidad;Aceptable;Algo de experiencia (hobby/entusiasta);Muy básica;Clasica;Prefiero no decirlo;No;España ;Español ;No, no lo hice.;"No lo sé.;";
4;4;4/18/24 16:09:19;4/18/24 17:34:52;anonymous;Sonificación 2;A la izquierda;Sonificación 3;Sonificación 3;Espectro 1;Espectro 3;Espectro 2;Espectro 3;Espectro 3;Espectro 3;Espectro 3;Espectro 2;"Lejos del centro;Posición derecha;Región de formación estelar;";"Cerca del centro;Posición izquierda;Galaxia vieja;";Buena;Útil;Buen sonido;Mucha experiencia (profesional);Muy básica;clásica;51-60;No;España;Castellano;Sí, utilicé auriculares.;"Audio 3D / Gaming;";
5;5;4/18/24 21:15:36;4/18/24 21:19:42;anonymous;Sonificación 1;A la izquierda;Sonificación 2;Sonificación 3;Espectro 2;Espectro 1;Espectro 3;Espectro 2;Espectro 2;Espectro 3;Espectro 1;Espectro 3;"Cerca del centro;";"Posición derecha;";Muy buena;Muy útil;Muy buen sonido;Ninguna;Muy básica;Música del mundo;Más de 60;No;Canada;español;Sí, utilicé auriculares.;"Estéreo;";muy interesante
6;6;4/18/24 18:10:42;4/18/24 21:23:00;anonymous;Sonificación 1;A la izquierda;Sonificación 2;Sonificación 4;Espectro 1;Espectro 3;Espectro 2;Espectro 3;Espectro 2;Espectro 2;Espectro 3;Espectro 3;"Cerca del centro;";"Lejos del centro;";XXX;Muy útil;Muy buen sonido;Ninguna;Muy básica;Clásica;Más de 60;No;España;Español;Sí, utilicé auriculares.;"Estéreo;";Muy interesante
7;7;4/18/24 21:09:34;4/18/24 21:41:59;anonymous;Sonificación 2;A la derecha;Sonificación 2;Sonificación 3;Espectro 3;Espectro 3;Espectro 3;Espectro 2;Espectro 2;Espectro 1;Espectro 3;Espectro 2;"Posición derecha;";"Posición izquierda;Galaxia vieja;";XXX;Útil;Muy buen sonido;Algo de experiencia (hobby/entusiasta);Algo de experiencia (hobby/entusiasta);Clasica;Más de 60;No;España;Española;Sí, utilicé auriculares.;"No lo sé.;Estéreo;";
8;8;4/18/24 21:31:33;4/18/24 21:43:57;anonymous;Sonificación 2;A la izquierda;Sonificación 4;Sonificación 1;Espectro 1;Espectro 2;Espectro 2;Espectro 3;Espectro 3;Espectro 1;Espectro 3;Espectro 1;"Cerca del centro;";"Cerca del centro;";Buena;Útil;Buen sonido;Algo de experiencia (hobby/entusiasta);Ninguna;Clásica ;51-60;No;España;Español ;No, no lo hice.;"No lo sé.;";
9;9;4/18/24 23:02:44;4/18/24 23:17:20;anonymous;Sonificación 1;A la derecha;Sonificación 3;Sonificación 4;Espectro 2;Espectro 3;Espectro 2;Espectro 2;Espectro 3;Espectro 2;Espectro 1;Espectro 1;"Posición derecha;Región de formación estelar;";"Cerca del centro;Galaxia vieja;";Muy buena;Útil;Muy buen sonido;Ninguna;Ninguna;Pop;51-60;No;España ;Español ;Sí, utilicé auriculares.;"Circum-aurales;";
10;10;4/18/24 23:21:02;4/18/24 23:30:11;anonymous;Sonificación 2;A la izquierda;Sonificación 4;Sonificación 1;Espectro 1;Espectro 3;Espectro 2;Espectro 1;Espectro 3;Espectro 1;Espectro 2;Espectro 3;"Cerca del centro;Posición derecha;Región de formación estelar;";"Lejos del centro;Posición izquierda;Galaxia vieja;";XXX;Útil;Buen sonido;Ninguna;Ninguna;pop;Menos de 21;No;España;español;No, no lo hice.;"Estéreo;";
11;11;4/19/24 10:07:08;4/19/24 10:14:43;anonymous;Sonificación 1;A la izquierda;Sonificación 2;Sonificación 3;Espectro 3;Espectro 2;Espectro 3;Espectro 2;Espectro 2;Espectro 1;Espectro 2;Espectro 1;"Galaxia vieja;";"Posición izquierda;";Buena;Útil;Buen sonido;Algo de experiencia (hobby/entusiasta);Muy básica;Boleros;Más de 60;No;España;Español;Sí, utilicé auriculares.;"No lo sé.;";
12;12;4/20/24 12:25:14;4/20/24 12:34:51;anonymous;Sonificación 2;A la izquierda;Sonificación 2;Sonificación 3;Espectro 2;Espectro 1;Espectro 2;Espectro 2;Espectro 1;Espectro 2;Espectro 2;Espectro 1;"Posición derecha;Cerca del centro;Galaxia vieja;";"Cerca del centro;Posición izquierda;Región de formación estelar;";Muy buena;Muy útil;Buen sonido;Ninguna;Muy básica;clasica;Más de 60;No;España;Español;Sí, utilicé auriculares.;"Circum-aurales;";
13;13;4/22/24 22:03:27;4/22/24 22:09:19;anonymous;Sonificación 2;A la derecha;Sonificación 1;Sonificación 3;Espectro 3;Espectro 3;Espectro 2;Espectro 2;Espectro 2;Espectro 1;Espectro 3;Espectro 2;"Lejos del centro;Galaxia vieja;";"Cerca del centro;Posición derecha;";Buena;Útil;Muy buen sonido;Ninguna;Algo de experiencia (hobby/entusiasta);el Fary;31-40;No;España;Castellano;No, no lo hice.;"Estéreo;";
